,EventName,RoundNumber,eventYear,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,StintLen,CircuitLength,designedLaps
96,Abu Dhabi Grand Prix,21,2019,HARD,RAI,2.0,98.383,Qualifying,25.38125,27.928125,68.55937499999999,0.0,17.0,13.0,2.0,1.0,32.0,5.554,55
97,Abu Dhabi Grand Prix,21,2019,HARD,RIC,2.0,96.456,Qualifying,25.712903225806446,28.748387096774188,66.44193548387096,0.0,7.0,11.0,2.0,1.0,31.0,5.554,55
98,Abu Dhabi Grand Prix,21,2019,HARD,RUS,1.0,98.717,Qualifying,25.996875000000003,29.534375,64.33749999999999,0.0,18.0,17.0,1.0,1.0,32.0,5.554,55
99,Abu Dhabi Grand Prix,21,2019,HARD,SAI,2.0,96.308,Qualifying,25.71379310344827,28.758620689655167,66.39655172413794,0.0,8.0,10.0,2.0,1.0,29.0,5.554,55
100,Abu Dhabi Grand Prix,21,2019,HARD,STR,2.0,97.103,Qualifying,26.02777777777778,29.88888888888889,64.4388888888889,0.0,12.0,20.0,2.0,1.0,18.0,5.554,55
101,Abu Dhabi Grand Prix,21,2019,HARD,VER,2.0,95.139,Qualifying,25.360000000000003,27.863333333333337,68.71666666666667,0.0,2.0,2.0,2.0,1.0,30.0,5.554,55
102,Abu Dhabi Grand Prix,21,2019,HARD,VET,2.0,95.339,Qualifying,25.773076923076925,28.919230769230765,66.00769230769231,0.0,4.0,5.0,2.0,1.0,26.0,5.554,55
103,Abu Dhabi Grand Prix,21,2019,MEDIUM,ALB,1.0,95.682,Qualifying,26.307692307692314,30.330769230769228,62.06153846153845,0.0,5.0,6.0,1.0,4.0,13.0,5.554,55
104,Abu Dhabi Grand Prix,21,2019,MEDIUM,BOT,1.0,94.973,Qualifying,26.058620689655175,29.727586206896554,64.04482758620689,0.0,20.0,4.0,1.0,4.0,29.0,5.554,55
105,Abu Dhabi Grand Prix,21,2019,MEDIUM,GAS,1.0,97.089,Qualifying,26.4,30.5,59.9,0.0,11.0,18.0,1.0,1.0,1.0,5.554,55
106,Abu Dhabi Grand Prix,21,2019,MEDIUM,GIO,3.0,98.114,Qualifying,25.325,27.821428571428577,68.99999999999999,0.0,16.0,16.0,3.0,1.0,28.0,5.554,55
107,Abu Dhabi Grand Prix,21,2019,MEDIUM,GRO,1.0,98.051,Qualifying,26.22222222222222,30.183333333333337,62.849999999999994,0.0,15.0,15.0,1.0,1.0,18.0,5.554,55
108,Abu Dhabi Grand Prix,21,2019,MEDIUM,HAM,1.0,94.779,Qualifying,26.103846153846156,29.89230769230769,63.82692307692308,0.0,1.0,1.0,1.0,4.0,26.0,5.554,55
109,Abu Dhabi Grand Prix,21,2019,MEDIUM,HUL,2.0,96.71,Qualifying,25.43333333333333,28.111111111111107,68.29166666666666,0.0,9.0,12.0,2.0,1.0,36.0,5.554,55
110,Abu Dhabi Grand Prix,21,2019,MEDIUM,KUB,2.0,99.236,Qualifying,25.351724137931033,27.87931034482759,68.73103448275862,0.0,19.0,19.0,2.0,1.0,29.0,5.554,55
111,Abu Dhabi Grand Prix,21,2019,MEDIUM,KVY,2.0,97.141,Qualifying,25.107142857142858,27.535714285714285,70.77857142857142,0.0,13.0,9.0,2.0,1.0,14.0,5.554,55
112,Abu Dhabi Grand Prix,21,2019,MEDIUM,LEC,1.0,95.219,Qualifying,26.316666666666666,30.366666666666664,61.86666666666667,0.0,3.0,3.0,1.0,4.0,12.0,5.554,55
113,Abu Dhabi Grand Prix,21,2019,MEDIUM,MAG,1.0,97.254,Qualifying,26.189999999999998,30.120000000000005,63.175,0.0,14.0,14.0,1.0,1.0,20.0,5.554,55
114,Abu Dhabi Grand Prix,21,2019,MEDIUM,PER,1.0,96.961,Qualifying,25.943243243243245,29.367567567567566,64.64324324324323,0.0,10.0,7.0,1.0,1.0,37.0,5.554,55
115,Abu Dhabi Grand Prix,21,2019,MEDIUM,RAI,1.0,98.383,Qualifying,26.154545454545453,30.031818181818185,63.449999999999996,0.0,17.0,13.0,1.0,1.0,22.0,5.554,55
116,Abu Dhabi Grand Prix,21,2019,MEDIUM,RUS,2.0,98.717,Qualifying,25.222727272727273,27.686363636363637,69.84545454545454,0.0,18.0,17.0,2.0,1.0,22.0,5.554,55
117,Abu Dhabi Grand Prix,21,2019,MEDIUM,SAI,3.0,96.308,Qualifying,25.092307692307696,27.507692307692306,70.88461538461539,0.0,8.0,10.0,3.0,1.0,13.0,5.554,55
118,Abu Dhabi Grand Prix,21,2019,MEDIUM,STR,1.0,97.103,Qualifying,26.439999999999998,30.380000000000003,60.88000000000001,0.0,12.0,20.0,1.0,1.0,5.0,5.554,55
119,Abu Dhabi Grand Prix,21,2019,MEDIUM,VER,1.0,95.139,Qualifying,26.116,29.947999999999997,63.74800000000001,0.0,2.0,2.0,1.0,4.0,25.0,5.554,55
120,Abu Dhabi Grand Prix,21,2019,MEDIUM,VET,3.0,95.339,Qualifying,25.135294117647057,27.55294117647059,70.5529411764706,0.0,4.0,5.0,3.0,1.0,17.0,5.554,55
